Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio,Vol- 50 Day Avg. (1000s)
AAAC,19.99,,0.05,0.0,,50,C+,,,,C+,,5
AAUS,52.79,,0.06,0.0,,50,B-,,,,C+,,0
ABI,24.89,,0.16,0.0,,50,A+,,,C,C+,,0
ABOT,33.49,,0.69,0.0,,24,D+,,,,C+,,0
ABUF,25.14,,,0.0,,50,,,,,C+,,0
ABXB,19.34,,0.10,0.0,,43,D-,,,,C+,,0
ACGR,60.04,,0.10,0.0,,43,B,,,,C+,,2
ACQC,12.26,,0.00,0.0,17,39,C-,4,,,D-,,0
ACSI,64.88,,0.28,0.0,,53,C+,,,,C+,,0
ACVT,26.10,,-0.08,0.0,,43,C+,,,,C+,,2
AFT,14.86,,0.00,0.0,,56,C,,,,D+,,
AGGS,40.83,,0.22,0.0,,43,D-,,,,C+,,1
AIF,14.82,,0.00,0.0,,53,C+,,,,D+,,
AIIA,10.04,,0.00,0.0,43,53,A,3,,,C,,25
AINT,24.84,,0.20,0.0,,38,,,,,C+,,3
AKAF,31.15,,0.26,0.0,,77,C+,,,,C+,,0
ALDF,10.56,,0.00,-98,47,56,D+,35,,E,C,42,6
ALIS,9.98,,0.00,0.0,41,53,C-,20,,,C,,18
ALOR,10.88,,0.00,0.0,60,74,C-,49,,E,C,121,
ALPX,0.00,,,0.0,,,C+,,,,,,
ALRG,26.75,,0.15,0.0,,56,E,,,,C+,,0
ALUB,9.98,,0.00,0.0,45,50,B+,12,,,C,,46
ANEW,45.67,,0.01,0.0,,29,A-,,,,C+,,0
APAC,10.05,,0.00,0.0,30,53,E,12,,,C,,12
APXM,31.33,,-0.03,0.0,,59,A+,,,,C+,,0
ARCM,100.10,,0.03,0.0,,50,E,,,,C+,,0
AREB,6.46,,0.00,0.0,3,1,E,63,E,,D,,41
ARKD,18.78,,0.11,0.0,,28,C+,,,,C+,,0
ARKI,20.25,,,100,,43,,,,,C+,,0
ARLI,25.02,,,-94,,50,,,,,C+,,102
ARMY,26.48,,0.15,0.0,,67,C+,,,,C+,,2
ARTC,9.81,,0.00,0.0,32,50,,3,,,C,,46
ARVR,44.91,,-0.07,0.0,,38,C+,,,,C+,,0
ASGM,28.49,,0.18,0.0,,72,B+,,,,C+,,0
ATGL,14.97,,0.00,0.0,8,10,B-,6,D,,C+,,5
ATII,10.41,,0.00,0.0,61,56,D,79,,E,C,40,51
AUGT,35.08,,0.06,0.0,,62,C-,,,,C+,,1
AZTD,29.21,,-0.44,0.0,,74,B-,,,,C+,,0
BAYA,11.95,,0.00,0.0,43,65,B-,4,,E,C,398,2
BBBL,47.67,,0.59,0.0,,38,D+,,,,C+,,0
BCKT,43.42,,0.07,0.0,,29,C+,,,,C+,,0
BDCI,9.97,,0.00,0.0,53,43,B+,47,,,C,332,47
BEBEUT,9.94,,-0.20,-98,,,,,,,,,
BEEZ,32.42,,0.06,0.0,,50,D,,,,C+,,1
BFAP,14.39,,-0.35,0.0,,17,B,,,,C+,,0
BFJA,18.22,,-0.44,0.0,,26,D+,,,,C+,,0
BFJL,16.75,,-0.18,0.0,,22,D-,,,,C+,,0
BFK,10.09,,0.00,0.0,,44,B-,,,,,,
BFZ,11.11,,0.00,0.0,,41,D-,,,,,,
BGRY,1.40,,0.00,0.0,34,64,B-,19,D,B,C,,
BHDG,26.41,,1.54,0.0,,59,,,,,C+,,29
BILD,31.03,,1.01,0.0,,78,B-,,,,C+,,1
BIOB,278.25,,0.00,0.0,29,43,E,43,C,,B-,28,0
BKHA,11.59,,0.00,0.0,51,67,B,25,,E,C,43,1
BKN,11.54,,0.00,0.0,,53,B-,,,,,,
BLE,10.54,,0.00,0.0,,41,C+,,,,,,
BLNG,10.25,,0.00,-99,35,51,B,4,,E,C,128,
BOSS,25.75,,0.00,0.0,,72,C-,,,,C+,,
BRIV,10.19,,0.00,0.0,68,74,A-,44,,E,C,41,
BSR,29.67,,0.34,0.0,,56,B-,,,,C+,,4
BTA,9.72,,0.00,0.0,,53,B-,,,,C-,,
BUYZ,32.34,,0.34,0.0,,19,D+,,,,C+,,0
BYM,11.05,,0.00,0.0,,41,D-,,,,,,
BYTE,9.53,,0.00,0.0,,44,A,,,,C,,
CAMX,31.03,,-0.58,0.0,,53,D-,,,,C+,,0
CARU,20.62,,-2.51,0.0,,15,A-,,,,C+,,0
CBH,9.19,,0.00,0.0,,49,D+,,,C,C-,,
CBLS,28.95,,0.21,0.0,,65,C,,,,C+,,5
CBOA,24.26,,0.12,0.0,,30,C+,,,,C+,,1
CBOL,23.41,,-0.04,0.0,,32,C+,,,,C+,,1
CBOO,24.37,,0.00,0.0,,38,C+,,,,C+,,1
CBXL,20.14,,-0.25,0.0,,21,C+,,,,C+,,0
CCRP,19.79,,0.41,0.0,,38,C+,,,,C+,,4
CCVI,10.49,,0.00,0.0,42,65,B,9,,E,D+,55,
CEM,44.64,,0.00,0.0,,67,C+,,,,C+,,
CGRO,23.45,,-0.85,0.0,,22,B,,,,C+,,0
CHAR,10.59,,0.00,0.0,71,59,B+,79,,E,C,39,10
CHEC,10.04,,0.00,-98,41,53,A-,3,,,C,,25
CHN,18.19,,0.00,0.0,,87,B-,,,,B+,,
CHNL,19.86,,-4.47,0.0,,,,,,,..,,3
CHNU,19.00,,-8.96,0.0,,,,,,,..,,37
CLCV,26.81,,0.41,0.0,,59,B,,,,C+,,2
CLOD,25.91,,0.43,0.0,,18,B-,,,,C+,,1
CMBO,101.71,,0.04,0.0,,53,A+,,,,C+,,0
COLA,10.53,,0.00,0.0,63,59,D,79,,E,C,66,23
CORS,10.37,,0.00,0.0,48,60,B+,32,,E,C,30,
CPBI,17.50,,0.00,0.0,83,74,D-,82,B,,B,17,4
CPII,19.14,,0.21,0.0,,50,B+,,,,C+,,0
CPRJ,27.04,,0.04,0.0,,62,B+,,,,C+,,1
CPSJ,26.95,,-0.07,0.0,,59,B-,,,,C+,,2
CRAQ,10.17,,0.00,0.0,37,53,B,3,,E,C,339,20
CRDD,19.73,,-3.85,-90,,,,,,,..,,2
CRDX,19.83,,-7.72,-9,,,,,,,..,,13
CRED,20.95,,1.21,0.0,,43,A+,,,,C+,,0
CRXP,19.93,,0.20,0.0,,43,C+,,,,C+,,5
CTR,40.25,,0.00,0.0,,67,C+,,,,C+,,
CTWO,15.68,,-3.57,-43,,25,C+,,,,C+,,2
CUSD,19.55,,1.45,0.0,,59,C+,,,,C+,,6
CVAR,28.32,,0.46,0.0,,59,D-,,,,C+,,1
CZAR,30.65,,0.13,0.0,,35,A+,,,,C+,,0
DADS,18.68,,0.32,0.0,,30,C+,,,,C+,,2
DAT,34.67,,1.34,0.0,,16,B+,,,,C+,,1
DCF,9.24,,0.00,-27,,56,D-,,,,D,,
DCPH,25.59,,0.00,-28,86,97,B-,35,D,D,A,,
DDFA,19.26,,0.26,-50,,50,,,,,C+,,937
DDTA,19.16,,0.10,-76,,50,,,,,C+,,330
DGOC,31.10,,0.16,0.0,,50,E,,,,C+,,1
DISA,10.68,,0.00,-75,35,36,A,39,,E,E,71,
DISH,5.77,,0.00,0.0,10,14,A-,15,C,D,D,3,
DLUX,50.13,,0.14,-62,,50,,,,,C+,,0
DMF,6.93,,0.00,0.0,,33,C,,,,D+,,
DNAB,10.35,,0.00,80,65,55,C+,80,,E,D+,58,
DRAM,0.00,,,0.0,,,,,,,..,,"2,530"
DUDE,20.01,,0.00,0.0,,49,D+,,,,C+,,
DVGR,24.38,,0.25,0.0,,35,C+,,,,C+,,1
DVIN,27.59,,-0.50,0.0,,70,B+,,,,C+,,0
DVND,35.38,,0.08,0.0,,65,D+,,,,C+,,0
DVRE,22.60,,2.36,0.0,,29,E,,,,C+,,0
DVSP,24.88,,0.08,0.0,,43,B,,,,C+,,0
DVUT,27.99,,0.68,0.0,,72,B+,,,,C+,,0
DVXB,28.10,,-0.28,0.0,,80,B,,,,C+,,0
DVXC,25.54,,0.67,0.0,,29,A+,,,,C+,,0
DVXF,21.88,,0.51,0.0,,21,C,,,,C+,,0
DVXK,25.60,,0.79,0.0,,29,B+,,,,C+,,0
DVXP,24.64,,0.65,0.0,,59,B-,,,,C+,,0
DVXV,29.04,,-0.82,0.0,,62,C+,,,,C+,,0
DWUS,51.42,,0.10,0.0,,50,D,,,,C+,,1
DYOR,9.96,,0.00,0.0,26,50,D-,3,,,C,,21
EAFG,23.61,,-0.88,0.0,,72,B-,,,,C+,,1
EAOK,27.24,,0.11,0.0,,53,D,,,,C+,,1
EAOM,29.69,,0.07,0.0,,56,B,,,,C+,,1
ECML,36.46,,-0.22,0.0,,80,B-,,,,C+,,3
EDI,5.02,,0.00,0.0,,44,B-,,,,,,
EEE,18.80,,-0.63,0.0,,26,,,,,C+,,0
EFFE,22.76,,-0.91,0.0,,53,B-,,,,C+,,0
EFTY,15.02,,0.00,0.0,96,96,A+,79,A,,D+,36,0
EGF,9.72,,0.00,0.0,,52,D+,,,,C,,
EGLE,27.52,,0.18,0.0,,43,A-,,,,C+,,0
EHCC,0.00,,,0.0,,,,,,,..,,4
EMCA,25.60,,0.00,0.0,,46,E,,,,B-,,
EMCH,26.51,,0.00,0.0,,71,,,,,B-,,
EMDV,45.98,,0.01,0.0,,53,B,,,,C+,,0
EMES,23.09,,-1.58,0.0,,59,E,,,,C+,,0
EMGC,25.67,,0.00,0.0,,59,A+,,,,B-,,
EMPG,17.36,,0.00,0.0,95,98,B+,79,A,,C-,217,0
EMPW,25.46,,0.00,0.0,,52,,,,,B-,,
EMZA,26.27,,0.00,0.0,,59,A+,,,,B-,,
ENHI,24.55,,-0.81,0.0,,43,,,,,C+,,0
ENTF,10.67,,0.00,-98,74,53,A-,81,,E,C-,67,
ENX,10.00,,0.00,0.0,,59,B-,,,,D,,
EOCW,10.36,,0.00,0.0,45,51,B,35,,E,D+,29,
EPAI,23.10,,-0.04,0.0,,82,B+,,,,C+,,1
EPEM,25.07,,-0.83,0.0,,79,A,,,,C+,,0
EPMB,23.89,,0.29,0.0,,70,C+,,,,C+,,0
EPMV,23.44,,-0.04,0.0,,67,C+,,,,C+,,0
EPSB,24.64,,0.53,0.0,,77,C+,,,,C+,,0
EPSV,25.79,,-0.08,0.0,,77,C+,,,,C+,,0
EQOP,28.93,,0.00,0.0,,64,B+,,,,B-,,
ESBG,21.30,,-1.11,0.0,,65,B+,,,,C+,,2
ESIX,31.94,,-0.01,0.0,,67,B,,,,C+,,0
EUDV,51.68,,-0.44,0.0,,43,C,,,,C+,,0
EUIG,49.49,,0.12,433,,43,D+,,,,C+,,0
EVM,9.46,,0.00,0.0,,53,B-,,,,D,,
EXEQ,23.86,,-0.25,0.0,,34,,,,,C+,,0
EYEG,35.32,,0.40,0.0,,38,E,,,,C+,,0
FAM,6.51,,0.00,0.0,,47,B,,,,,,
FATP,10.92,,0.00,0.0,31,60,C,4,,E,C-,,
FEBU,27.12,,0.11,0.0,,59,D+,,,,C+,,9
FEDM,58.93,,-0.47,0.0,,65,D+,,,,C+,,2
FEI,9.83,,0.00,0.0,,83,B,,,,C,,
FEN,16.00,,0.00,0.0,,77,B-,,,,C,,
FEUS,70.51,,0.11,0.0,,53,C,,,,C+,,2
FGB,4.15,,0.00,-55,,39,B-,,,,A-,,
FGII,9.90,,0.00,0.0,32,50,,3,,,C,,3
FGO,0.00,,,0.0,,,C+,,,,,,
FIF,18.10,,0.00,0.0,,80,C+,,,C,C,,
FLDZ,29.11,,0.52,0.0,,56,B-,,,,C+,,0
FLXI,48.86,,-0.04,0.0,,35,,,,,C+,,0
FMCE,25.04,,0.16,0.0,,32,E,,,,C+,,0
FMCX,32.39,,0.06,0.0,,38,D+,,,,C+,,1
FMIV,10.36,,0.00,-94,44,50,A,15,,E,C+,74,
FPAS,25.02,,0.12,0.0,,38,A-,,,,C+,,2
FPL,7.76,,0.00,0.0,,83,B+,,,C,C,,
FRDD,22.42,,0.81,0.0,,53,C+,,,,C+,,0
FRIZ,24.72,,0.12,0.0,,38,D-,,,,C+,,0
FRXB,10.43,,0.00,0.0,48,53,A+,20,,D,D+,35,
FSD,12.22,,0.00,0.0,,56,B-,,,D,D+,,
FSHP,10.94,,0.00,-87,61,62,A,41,,,C,42,3
FVN,10.72,,0.00,0.0,50,59,C,36,,E,C,40,8
GAID,22.94,,-0.61,0.0,,24,C+,,,,C+,,0
GARA,27.13,,1.08,0.0,,67,C+,,,,C+,,0
GAUD,23.52,,0.13,0.0,,30,C+,,,,C+,,0
GDOC,32.89,,-0.27,0.0,,43,E,,,,C+,,2
GENW,14.14,,-0.01,0.0,,79,D+,,,,C+,,3
GEOA,33.80,,-0.32,0.0,,62,E,,,,C+,,0
GEW,50.83,,-0.02,0.0,,53,B-,,,,C+,,6
GFGF,31.77,,0.03,0.0,,32,D+,,,,C+,,0
GGM,28.31,,0.43,0.0,,67,C+,,,,C+,,0
GGOV,49.63,,0.38,0.0,,50,D,,,,C+,,1
GGRW,32.80,,-0.33,0.0,,50,E,,,,C+,,0
GLBL,23.79,,0.30,"1,500",,38,D-,,,,C+,,0
GRF,10.60,,0.00,0.0,,70,E,,,,C+,,1
GRNA,0.30,,0.00,0.0,15,2,C,26,D,C,B+,,
GSRF,10.03,,0.00,0.0,53,50,B-,47,,,C,,60
GXLC,78.96,,0.11,0.0,,38,C-,,,,C+,,0
GYRO,7.99,,0.00,0.0,20,26,E,37,E,,B,,0
HACQ,0.00,,,0.0,,,,,,,..,,
HAPS,31.63,,0.86,0.0,,67,A-,,,,C+,,0
HAVA,10.01,,0.00,0.0,,,,,,,..,,52
HBRD,24.51,,0.20,0.0,,38,,,,,C+,,0
HBTC,19.00,,-1.61,0.0,,15,C+,,,,C+,,0
HCMA,10.08,,0.00,0.0,35,50,B,3,,,C,,49
HECO,39.78,,0.58,0.0,,81,B+,,,,C+,,0
HEMI,38.52,,0.29,0.0,,34,B-,,,,C+,,10
HFSP,15.14,,-0.98,0.0,,28,A+,,,,C+,,0
HIE,12.56,,0.00,0.0,,70,B-,,,,B-,,
HLXC,10.16,,0.00,0.0,22,43,E,3,,,C,,39
HMA,10.54,,0.00,0.0,42,48,B,29,,,C,59,
HNW,12.81,,0.00,0.0,,52,B,,,,D,,
HTY,4.99,,0.00,0.0,,60,C-,,,,C,,
HUAK,0.00,,,0.0,,,C+,,,,,,
HVMC,10.05,,0.00,586,40,53,B+,3,,,C,,37
HVTA,23.72,,0.00,0.0,46,75,B,25,C,,D-,21,10
HWAY,33.43,,-0.71,0.0,,82,B-,,,,C+,,1
HWKZ,10.26,,0.00,0.0,62,49,B-,80,,E,C,93,
HWSM,27.45,,0.04,0.0,,59,C+,,,,C+,,0
HYB,8.20,,0.00,0.0,,67,D-,,,,D+,,
IACOU,0.00,,,0.0,,,,,,,..,,
IBAC,0.00,,,0.0,39,56,B-,7,,E,C,0,13
IBGC,25.13,,0.52,0.0,,1,,,,,C+,,0
IBMV,25.29,,0.24,500,,1,,,,,C+,,0
IDVY,23.52,,-1.09,0.0,,32,,,,,C+,,0
IFED,41.47,,0.05,0.0,,27,D,,,,C+,,0
IGAC,9.90,,0.00,0.0,25,50,E,3,,,C,,13
IGTA,8.00,,0.00,0.0,9,18,D-,3,,E,C,,0
IHIT,6.92,,0.00,0.0,,29,C+,,,,D+,,
IHTA,7.54,,0.00,103,,47,C-,,,,D,,
IMTG,49.55,,0.24,"1,067",,38,,,,,C+,,0
INAC,10.13,,0.00,0.0,58,56,B+,47,,,C,203,15
INDQ,25.37,,0.96,0.0,,1,,,,,C+,,0
INSI,16.23,,0.00,0.0,,30,D-,,,,D,,
INTM,51.41,,0.12,0.0,,53,B+,,,,C+,,0
INVG,25.38,,0.36,0.0,,43,C+,,,,C+,,3
IOR,18.34,,0.00,0.0,56,59,B+,44,,,B-,19,0
IPAV,30.44,,-1.01,0.0,,75,C-,,,,C+,,1
IPOD,10.34,,0.00,0.0,44,56,E,35,,,C,115,10
IQRA,29.59,,0.58,0.0,,67,B,,,,C+,,0
IQSZ,27.93,,-0.29,0.0,,65,E,,,,C+,,0
IRET,19.60,,1.66,0.0,,53,A-,,,,C+,,0
ISHP,33.13,,-0.63,0.0,,22,E,,,,C+,,0
ITOL,24.85,,-0.68,0.0,,35,E,,,,C+,,0
IVRS,28.50,,-0.49,0.0,,18,C+,,,,C+,,1
IWDL,49.96,,0.34,0.0,,78,A,,,,C+,,0
IWFL,46.12,,-0.37,0.0,,32,B-,,,,C+,,0
IWML,23.97,,1.22,0.0,,79,B-,,,,C+,,0
JEQ,8.05,,0.00,0.0,,87,B,,,,,,
JHAA,0.00,,,0.0,,70,B-,,,B,C,,
JHAC,13.79,,0.36,0.0,,30,B,,,,C+,,1
JHDV,40.42,,0.25,0.0,,67,E,,,,C+,,0
JHID,40.87,,-0.41,0.0,,82,C+,,,,C+,,1
JIDE,47.74,,-0.79,0.0,,38,E,,,,C+,,2
JLQD,41.33,,0.34,0.0,,38,C+,,,,C+,,0
JMG,6.61,,0.00,0.0,44,80,E,79,,,D-,66,0
JOANQ,0.08,,0.00,0.0,1,1,E,4,E,E,B,,
JPI,20.68,,0.00,0.0,,42,B,,,,C,,
JPS,6.21,,0.00,989,,42,B+,,,,C+,,
JPT,15.87,,0.00,203,,44,A-,,,,D+,,
JRE,24.97,,0.97,0.0,,65,B,,,,C+,,0
JUNZ,31.43,,0.01,0.0,,59,B-,,,,C+,,1
JXG,3.73,,0.00,0.0,6,3,D+,4,B,,B-,1,5
KARB,28.17,,0.00,0.0,,18,B-,,,,C+,,
KDRN,23.20,,-0.04,0.0,,50,B-,,,,C+,,1
KLMN,26.95,,0.22,0.0,,59,E,,,,C+,,"3,509"
KOKU,116.44,,0.01,0.0,,62,D,,,,C+,,0
KONG,29.53,,0.01,0.0,,43,D-,,,,C+,,1
KOYN,10.04,,0.00,0.0,45,53,D,35,,,C,,57
KPRO,27.24,,-0.11,0.0,,30,C,,,,C+,,0
KSM,10.08,,0.00,0.0,,60,E,,,,D,,
KVSA,10.74,,0.00,-32,51,65,B+,27,,E,D+,72,
LATA,9.99,,0.00,0.0,24,43,D-,3,,,C,,44
LAWR,3.75,,0.00,0.0,55,65,A,38,D,,D+,,0
LCCC,10.31,,0.00,0.0,30,56,D-,3,,E,C,"1,031",0
LCDS,63.00,,-0.03,0.0,,59,A,,,,C+,,0
LCLG,59.57,,-0.08,0.0,,62,D-,,,,C+,,0
LCO,26.17,,0.27,0.0,,43,C+,,,,C+,,0
LFAC,9.93,,0.00,0.0,39,50,B+,3,,,C,,31
LFAI,151.85,,0.35,0.0,,32,D+,,,,C+,,0
LFAO,165.68,,0.40,0.0,,32,B+,,,,C+,,0
LFAW,176.95,,0.44,0.0,,38,A-,,,,C+,,0
LFBE,186.66,,0.47,0.0,,34,C+,,,,C+,,0
LFDR,186.75,,0.47,0.0,,35,E,,,,C+,,0
LGDX,22.05,,0.18,0.0,,53,C+,,,,C+,,0
LGHT,8.63,,-0.69,0.0,,23,D,,,,C+,,2
LHC,11.87,,0.00,0.0,53,87,B,6,,E,C,79,
LIAE,208.60,,0.64,0.0,,34,A+,,,,C+,,0
LIANY,0.06,,1.28,84,76,99,B+,26,,A,A+,,
LIAU,261.94,,0.80,0.0,,32,A+,,,,C+,,0
LIBD,278.25,,0.85,0.0,,30,D+,,,,C+,,0
LIFT,25.74,,0.04,0.0,,24,C+,,,,C+,,0
LLDR,45.13,,0.45,0.0,,38,E,,,,C+,,0
LPAA,10.71,,0.00,0.0,36,56,D,9,,,C,37,3
LQAI,38.63,,0.13,0.0,,65,B,,,,C+,,0
LTAX,24.88,,0.20,200,,43,C+,,,,C+,,0
LVOX,3.73,,0.00,13,70,84,B,49,D,E,A-,,
LWAC,10.20,,0.00,0.0,30,56,D-,3,,,C,,44
MACI,10.77,,0.00,0.0,44,56,B,9,,E,C,43,18
MAGH,6.76,,0.00,0.0,73,97,A+,3,E,,A,,0
MAGO,20.63,,-0.77,0.0,,21,E,,,,C+,,2
MAMK,13.00,,0.00,0.0,74,99,A+,3,C,,B-,,0
MAPP,26.25,,-0.15,0.0,,65,D-,,,,C+,,0
MAV,8.08,,0.00,0.0,,22,C-,,,,D-,,
MAYS,39.78,,0.00,0.0,19,56,E,1,E,,B-,,1
MAYZ,32.07,,0.03,0.0,,62,B,,,,C+,,3
MBAC,10.59,,0.00,0.0,50,63,A,15,,E,D+,59,
MCDS,60.13,,0.28,0.0,,68,A,,,,C+,,0
MCTA,29.36,,0.00,0.0,86,99,A+,79,,,C+,489,0
MDAA,99.78,,-1.02,"2,400",,50,C+,,,,C+,,0
MDEV,19.03,,-0.42,0.0,,29,D+,,,,C+,,0
MDRR,11.30,,0.00,0.0,46,29,D-,64,D,,B,,1
MEMY,18.60,,0.38,0.0,,16,D-,,,,C+,,1
MEOA,26.54,,0.00,0.0,52,99,A+,5,,,C,204,
MFD,8.45,,0.00,18,,72,B,,,,,,
MFV,4.41,,0.00,0.0,,59,C,,,,D,,
MHI,8.95,,0.00,0.0,,25,D,,,,D-,,
MHN,10.30,,0.00,0.0,,41,C+,,,,,,
MIDE,33.82,,-0.12,0.0,,70,D-,,,,C+,,0
MIGO,23.12,,-0.13,0.0,,30,,,,,C+,,5
MIO,11.39,,0.00,0.0,,22,D,,,,A-,,
MJSC,54.87,,-2.02,0.0,,78,E,,,,C+,,0
MKAM,30.15,,0.03,0.0,,50,E,,,,C+,,1
MKLY,10.03,,0.00,-82,38,53,B,3,,,C,,29
MLAA,9.85,,0.00,0.0,30,50,,3,,,C,,7
MLDR,49.07,,0.14,0.0,,43,E,,,,C+,,0
MMMA,25.17,,0.02,0.0,,50,C+,,,,C+,,1
MMSB,23.33,,0.00,0.0,,35,D,,,,C,,
MMTX,10.01,,0.00,0.0,45,53,A+,3,,,C,,6
MQT,10.30,,0.00,0.0,,53,B-,,,,,,
MQY,11.79,,0.43,-12,,35,D+,,,,C-,,
MRND,23.57,,0.00,0.0,,72,C,,,,C,,
MSST,31.41,,-2.60,0.0,,12,C+,,,,C+,,3
MTRA,24.28,,-0.65,0.0,,30,C-,,,,C+,,2
MTUL,35.31,,-0.56,0.0,,38,C,,,,C+,,0
MTVR,17.53,,0.00,-92,,70,B,,,,C+,,
MUE,10.07,,0.00,0.0,,41,C,,,,,,
MUI,12.09,,0.00,0.0,,36,C-,,,,C-,,
MULT,25.15,,0.24,0.0,,43,E,,,,C+,,0
MUNA,99.90,,0.06,-27,,50,C+,,,,C+,,1
MUNB,100.35,,0.10,-83,,50,C+,,,,C+,,1
MUNC,101.77,,0.16,0.0,,50,C+,,,,C+,,0
MUND,102.29,,-0.10,0.0,,53,C+,,,,C+,,0
MUSE,48.99,,0.06,0.0,,38,B+,,,,C+,,0
MVF,7.07,,0.00,0.0,,48,B-,,,,,,
MVPL,34.17,,0.09,0.0,,62,D-,,,,C+,,0
MVT,11.00,,0.00,0.0,,53,B-,,,,C-,,
MYD,10.77,,0.00,0.0,,53,B,,,,,,
MYHB,24.89,,0.12,0.0,,43,,,,,C+,,0
NBGX,25.67,,-0.08,0.0,,43,D-,,,,C+,,0
NBTR,50.14,,0.24,0.0,,43,E,,,,C+,,0
NDP,40.40,,0.00,0.0,,84,B,,,,B-,,
NID,13.00,,0.00,0.0,,54,B-,,,,D,,
NKG,10.10,,0.00,0.0,,42,C+,,,,D+,,
NMAY,28.15,,0.07,0.0,,65,B-,,,,C+,,1
NMBL,19.61,,0.20,0.0,,38,B+,,,,C+,,3
NMP,10.16,,0.00,0.0,40,56,B,3,,E,C,,10
NSCR,29.00,,0.00,0.0,,43,E,,,,C+,,0
NTG,53.36,,0.00,0.0,,90,B,,,,B-,,
NTWO,10.52,,0.00,0.0,78,56,A+,75,,E,C,38,11
NUO,12.66,,0.00,0.0,,49,B-,,,,D+,,
NUTR,9.00,,0.00,0.0,59,94,A+,21,,,E,,0
NVIR,39.34,,0.69,0.0,,86,B+,,,,C+,,2
NWLG,33.83,,-0.09,0.0,,32,E,,,,C+,,0
NXC,13.29,,0.00,0.0,,41,D+,,,,D+,,
NXN,12.14,,0.00,0.0,,47,B,,,,D+,,
NXUS,24.77,,-0.08,0.0,,43,C,,,D,C+,,334
NZUS,33.27,,0.03,0.0,,43,A-,,,,C+,,0
OBA,10.13,,0.00,7,45,53,D+,35,,E,C,169,14
ODHY,9.95,,0.10,0.0,,43,A+,,,,C+,,0
ODTE,25.07,,,0.0,,,,,,,..,,0
OGSP,9.99,,0.10,0.0,,43,A,,,,C+,,0
OIGBQ,0.00,,0.00,0.0,4,1,E,25,D,C,B,,
OIL,28.42,,0.00,0.0,,29,B-,,,,B-,,
OOSB,9.22,,-1.81,0.0,,12,D,,,,C+,,1
ORIQ,10.20,,0.00,0.0,54,53,B+,35,,E,C,,14
OST,1.70,,0.00,0.0,25,12,C,63,E,,B-,,1
OYSE,10.17,,0.00,-99,40,53,B+,3,,E,C,509,7
PAAC,0.00,,,0.0,,,,,,,..,,
PAII,10.15,,0.00,0.0,33,56,C-,3,,,C,,62
PBHC,12.92,,0.00,0.0,32,22,C+,26,E,,B+,,2
PBOT,23.80,,0.04,0.0,,32,D,,,,C+,,5
PC,9.40,,0.00,0.0,27,67,B-,1,E,,C,,0
PCK,5.27,,0.00,0.0,,23,C+,,,,D+,,
PCLN,25.78,,-0.62,0.0,,59,A+,,,,C+,,0
PCPI,0.00,,,0.0,,,,,,,..,,
PCTI,6.99,,0.00,-46,59,97,B,47,D,C,E,19,
PEMX,69.95,,-1.52,0.0,,83,B-,,,,C+,,1
PEPS,28.29,,0.21,0.0,,65,E,,,,C+,,0
PEVC,26.23,,0.19,0.0,,50,E,,,,C+,,0
PHD,9.95,,0.00,0.0,,46,C+,,,,,,
PHT,8.32,,0.00,0.0,,52,D+,,,,D,,
PIEL,24.61,,-1.12,0.0,,38,E,,,,C+,,0
PIFI,94.26,,0.17,0.0,,43,C-,,,,C+,,0
PIPE,29.14,,0.83,0.0,,83,C+,,,,C+,,2
PJBF,56.58,,-0.46,0.0,,30,E,,,,C+,,0
PLTS,17.50,,0.00,0.0,58,94,A+,20,,,E,875,0
PMAU,25.73,,0.01,300,,53,A+,,,,C+,,0
PMDE,25.07,,0.04,300,,50,B-,,,,C+,,0
PMF,7.76,,0.00,0.0,,18,D-,,,,D+,,
PMJA,26.72,,0.02,0.0,,56,C,,,,C+,,0
PMJL,25.91,,0.04,0.0,,56,D,,,,C+,,0
PMJN,26.27,,0.08,0.0,,56,E,,,,C+,,0
PMMR,26.50,,0.04,-93,,56,D-,,,,C+,,2
PMMY,26.47,,0.08,0.0,,59,A+,,,,C+,,0
PMNV,25.12,,0.04,0.0,,50,E,,,,C+,,0
PMOC,25.27,,0.08,400,,50,C,,,,C+,,0
PMX,6.68,,0.00,-13,,21,E,,,,D,,
PNF,6.81,,0.00,0.0,,22,B-,,,,D+,,
PPEM,18.82,,-1.05,0.0,,16,B-,,,C,C+,,28
PPIE,25.99,,-0.46,0.0,,43,B-,,,E,C+,,139
PRAB,25.02,,0.12,0.0,,50,,,,,C+,,0
PRAE,37.30,,-0.43,0.0,,74,A-,,,,C+,,0
PSMJ,32.01,,0.38,0.0,,62,D+,,,,C+,,1
PTNM,10.39,,0.00,0.0,59,90,A+,3,B,,C-,520,29
PYN,5.15,,0.00,0.0,,22,D-,,,,D+,,
PZC,6.10,,0.00,0.0,,20,E,,,,D+,,
PZIV,25.50,,-0.31,-94,,50,,,,,C+,,51
PZLV,25.07,,-0.12,-12,,50,,,,,C+,,2
QBIF,25.05,,-0.36,-97,,,,,,,..,,101
QBIV,25.15,,-0.59,-97,,,,,,,..,,100
QBKF,25.12,,0.04,-99,,,,,,,..,,100
QBKV,25.23,,0.36,-97,,,,,,,..,,102
