Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio,Vol- 50 Day Avg. (1000s)
ET,18.93,25,-0.47,-11,77,75,C+,31,C,B,A+,16,"15,873"
FLNG,30.47,25,3.99,-25,81,88,B,47,C,,A+,16,650
FRO,36.60,25,5.08,2,97,97,A,51,C,B,A+,21,"4,108"
GASS,9.54,25,1.81,-38,94,93,A-,70,B,,A+,5,179
GLNG,55.29,25,3.06,-12,99,93,A+,79,A,C,A+,88,"2,244"
HAFN,7.91,25,3.53,-10,91,94,B-,57,C,,A+,12,"1,825"
HESM,38.81,25,1.81,-39,91,68,B-,87,A,C,A+,14,"1,487"
IMPP,4.51,25,4.64,-23,89,90,B-,51,A,,A+,3,807
INSW,75.38,25,4.36,-28,95,96,B+,50,C,C,A+,14,599
KMI,32.97,25,0.27,-36,95,82,B,81,B,D,A+,25,"14,714"
KNOP,10.09,25,1.31,-23,80,84,B-,26,C,,A+,15,120
KNTK,46.66,25,1.86,-5,72,81,B-,50,,C,A+,18,"1,464"
LNG,281.16,25,1.93,9,96,88,B+,73,A,C,A+,12,"3,012"
LPG,34.62,25,2.97,-20,98,92,C+,97,B,C,A+,12,588
MMLP,2.83,25,0.00,-88,43,34,B,19,,,A+,,15
MPLX,55.90,25,-0.04,14,87,70,E,90,A,A,A+,12,"1,792"
NAT,6.15,25,7.33,55,88,98,A-,35,E,B,A+,,"4,730"
NVGS,19.92,25,3.27,-34,95,88,B-,82,C,B,A+,17,402
NXXT,0.40,25,-0.08,-60,24,1,C+,22,D,B,A+,,"1,714"
OKE,88.30,25,1.08,-5,93,78,D+,83,A,C,A+,16,"5,426"
PAA,22.14,25,1.61,-31,79,85,B-,50,D,C,A+,18,"3,812"
PAGP,24.06,25,1.43,-3,84,86,B+,59,E,B,A+,,"2,079"
PBA,44.62,25,1.99,-16,75,80,B+,28,B,D,A+,38,"1,666"
RUBI,0.53,25,12.77,-23,16,1,D,27,B,,A+,0,"4,067"
SFL,10.93,25,2.82,-19,59,91,C-,4,E,C,A+,,"1,732"
SMC,29.67,25,-0.64,-54,89,80,B+,56,C,B,A+,,71
SOBO,33.17,25,2.38,54,87,85,B,57,C,C,A+,17,943
STNG,76.43,25,3.14,-15,95,95,B,71,C,C,A+,14,"1,199"
TEN,40.19,25,2.87,5,97,97,A+,64,C,,A+,10,510
TGS,35.32,25,2.14,24,88,89,B,55,C,,A+,18,293
TK,12.73,25,4.86,-20,91,95,D,98,C,C,A+,11,610
TNK,76.99,25,5.52,-10,92,95,B+,68,C,B,A+,11,533
TOPS,3.20,25,5.61,-77,9,9,D-,1,,,A+,1,210
TRMD,29.10,25,3.89,-9,87,94,C,51,C,,A+,9,836
TRP,63.36,25,1.83,-33,82,85,D,40,A,D,A+,28,"2,511"
WES,41.16,25,1.01,-38,83,65,C+,66,B,C,A+,14,"1,478"
ASTE,55.06,26,-1.98,-39,90,89,C+,76,C,C,A,17,235
CAT,717.22,26,-1.79,-40,93,95,D+,69,B,B,A,38,"2,954"
CNH,10.65,26,-3.36,-2,58,50,B+,46,D,,A,20,"15,572"
MTW,11.75,26,-2.49,-38,83,72,D-,79,D,C,A,37,291
TEX,58.52,26,-2.92,-57,90,85,B-,89,B,C,A,12,"2,117"
AD,48.00,27,0.80,-52,97,81,B-,80,A,B,A,25,306
ATEX,40.39,27,3.27,-45,76,95,A-,26,E,B,A,9,409
FCUV,3.34,27,-8.74,-65,11,1,D+,22,D,B,A,,31
GSAT,77.73,27,13.42,510,83,98,B+,23,D,B,A,,794
IRDM,32.86,27,15.22,67,90,94,A,32,B,C,A,31,"2,335"
