Rank this Wk,3 Wks ago,6 Wks ago,Industry Group Name,Group Composite Rating,YTD % Change,Day's % Change
104,122,91,  Banks-Supr Rgional,80,0.3,0.7
105,93,137,  Beverages-Alcoholic,59,9.1,0.3
106,127,56,  Trnsprttin-Airlne,79,-10.9,-1.9
107,170,172,  Consumr Svc-Edcation,80,11.8,0.6
108,76,104,  Food-Confectionery,..    ,10.1,1.2
109,114,122,  Compter-Netwrking,88,-1.6,1.3
110,150,131,  Consumr Prod-Speci,66,1.2,0.6
111,103,146,  Fnce-Invsmnt Mgt,74,-10.5,-0.3
112,121,67,  Leisure-Products,69,-0.4,-0.1
113,115,127,  Finance-Mrtg-Reit,67,-2.7,0.5
114,146,84,  Bldg-Mbile/Mfg & Rv,..    ,-13.8,-0.6
115,94,117,  Cmpter-Tech Srvcs,73,-18.7,1.4
116,109,120,  Financ-Pbl Inv Fdeqt,..    ,-1.7,-0.4
117,153,163,  Wholesale-Elect,..    ,1.1,0.1
118,108,132,  Telcom-Cons Prod,90,6.9,1.6
119,81,108,  Transportation-Rail,..    ,3.9,0.6
120,113,63,  Retail-Restaurants,66,-1.4,1
121,116,136,  Finance-Blank Check,53,-3,0
122,133,143,  Fince-Pub Inv Fd-Bl,..    ,3.9,0.1
123,149,128,  Internet-Content,79,-13.6,-0.2
124,119,130,  Comml Svc-Doc Mgmt,..    ,30,0
125,112,119,  Cosmetics/Persnl Cre,63,-9,-2.3
126,125,121,  Insrnce-Divrsified,77,-8.1,0.8
127,132,156,  Funeral Svcs & Rel,..    ,6.9,2
128,151,157,  Food-Meat Products,..    ,-3.9,-2.5
129,91,72,  Coml Svcs-Advrtsng,75,-5.4,0.2
130,129,101,  Bldg-Cnstr Prds/Msc,71,-7.4,-2.3
131,63,106,  Medical-Generc Drgs,72,-8.2,-1.6
132,105,38,  Metal Prds-Distribtr,..    ,-2.9,-1.3
133,60,68,  Medcal-Hospitals,..    ,-10,-0.3
134,126,133,  Fnancepbl Inv Fdbnd,..    ,-3.2,-0.5
135,128,85,  Houshld-Applncs/Hw,..    ,-10.7,-0.4
136,137,134,  Medical-Systems/Eqp,76,-13.2,0
137,55,34,  Energy Solar,..    ,-11.9,-3.6
138,155,169,  Intrnt-Netwk Sltns,..    ,13.3,1.4
139,152,144,  Security/Sfty,71,-11.9,-0.5
140,143,123,  Apparel-Shoes & Rel,62,-7.7,-1.4
141,142,66,  Mchnry-Mtl Hdlg,..    ,-13.4,1.3
142,74,92,  Media-Radio/Tv,..    ,-11.2,0.5
143,145,126,  Insurance-Life,73,-5.4,0.3
144,136,167,  Comptr Sftwr-Entr,65,-17.8,1.3
145,144,153,  Finance-Cons Loan,72,-8.4,0.3
146,157,185,  Cmp-Hrdwre/Perip,..    ,-0.6,3
147,120,125,  Soap & Clng Preparat,..    ,2.5,-1.7
148,141,102,  Hsholdoffic Furnitr,..    ,-8.8,-0.7
